name,description,cost,formPDFlocation,block,linked,supervisor,secretary,presenter,room,capacity,buffer
Cooking,"Dicing, slicing, and eating until your hearts content... sign up to learn how to cook a delicious, mouth-watering, absolutely scrumptious meal with Mrs. Matthews and Madame Carrier!",0,,2,,,,Rachelle Carrier                 Victoria Matthews,Room 119,20,2
Crafting with Soapstone,"Get introduced to soapstone carving by joining this session led by Mr. Kicul, who will share with you his passion...crafting beautiful soapstone Inuit carvings.",0,,3,,,,Darryl Kicul,Room 130,10,2
Cupcake Decorating,Release your inner Cake Boss!  In this session you will learn how to create fun and yummy cupcakes using different cake decorating techniques.  Learn somethng new and have some fun decorating!   ,0,,1,,,,Sue McConnell,Room 117,19,2
Cupcake Decorating,Release your inner Cake Boss!  In this session you will learn how to create fun and yummy cupcakes using different cake decorating techniques.  Learn somethng new and have some fun decorating!   ,0,,2,,,,Sue McConnell,Room 117,20,2
Customer Service Online Training Course,Pump up your resume!  Use this session to start working on the ALISON Customer Service Training Course.  This course is offered free of charge in an online format. Computers and space provided to help get you started!,0,,1,,Tracie Langford,,0,Room 101,20,2
Customer Service Online Training Course,Pump up your resume!  Use this session to start working on the ALISON Customer Service Training Course.  This course is offered free of charge in an online format. Computers and space provided to help get you started!,0,,2,,Tracie Langford,,0,Room 101,20,2
Customer Service Online Training Course,Pump up your resume!  Use this session to start working on the ALISON Customer Service Training Course.  This course is offered free of charge in an online format. Computers and space provided to help get you started!,0,,3,,Tracie Langford,,0,Room 101,20,2
Deconstructing Society,"An interactive workshop focusing on the recognition of pressing social issues that matter to you, leading to discussion about positive change and action to be taken on the local, global, and personal levels. This is a participant driven workshop, so come prepared to delve into and discuss the inner workings of society!",0,,2,,Tracie Langford,,Addy Strickland,Room 120,20,2
Deconstructing Society,"An interactive workshop focusing on the recognition of pressing social issues that matter to you, leading to discussion about positive change and action to be taken on the local, global, and personal levels. This is a participant driven workshop, so come prepared to delve into and discuss the inner workings of society!",0,,3,,Tracie Langford,,Addy Strickland,Room 120,20,2
Discover This!  Learn to Cook Healthy Snacks & Play Super-fun Games,"Take a break from social media!  Relax with friends while you cook some healthy and delicious snacks and play some super-fun, easy games!  A great way to create a fun and enjoyable social environment for making friends and building long lasting relationships.  Hosted by Mr. Emond and Mr. Smith.",0,,3,,,,Pete Emond                           Adam Smith,Room 119,20,2
Finance Advice for your Future,"Sign up to learn financial basics from a Financial Consultant.  You will learn tips about managing debt, saving and investing, and how to protect yourself from identity theft.  These will be valuable skills as you head off to college, university and the workforce!",0,,2,,Tracie Langford,,Brenda Merkley,Room 217,30,2
Finding Your Pathway: Experiential Learning Beyond the Classroom, ,0,,2,,Tracie Langford,,"Candace Carson, Instructional Coach",Room 214,30,2
Finding Your Pathway: Experiential Learning Beyond the Classroom, ,0,,3,,Tracie Langford,,"Candace Carson, Instructional Coach",Room 214,30,2
Forensics, ,0,,1,,Tracie Langford/Maureen Smith,,Steve Roach,Room 232,30,2
Forensics, ,0,,2,,Tracie Langford/Maureen Smith,,Steve Roach,Room 232,30,2
